65536
95, 95, 16, 95, 95, 16, 31, 31, 52
95, 16, 86, 95, 16, 86, 31, 52, 29
16, 86, 61, 16, 86, 61, 52, 29, 75
86, 61, 79, 86, 61, 79, 29, 75, 68
61, 79, 47, 61, 79, 47, 75, 68, 66
79, 47, 12, 79, 47, 12, 68, 66, 44
47, 12, 42, 47, 12, 42, 66, 44, 35
12, 42, 64, 12, 42, 64, 44, 35, 36
42, 64, 38, 42, 64, 38, 35, 36, 80
64, 38, 64, 64, 38, 64, 36, 80, 97
38, 64, 68, 38, 64, 68, 80, 97, 14
64, 68, 87, 64, 68, 87, 97, 14, 4
68, 87, 42, 68, 87, 42, 14, 4, 4
87, 42, 14, 87, 42, 14, 4, 4, 45
42, 14, 13, 42, 14, 13, 4, 45, 52
14, 13, 14, 14, 13, 14, 45, 52, 26
13, 14, 40, 13, 14, 40, 52, 26, 23
14, 40, 9, 14, 40, 9, 26, 23, 34
40, 9, 90, 40, 9, 90, 23, 34, 40
9, 90, 93, 9, 90, 93, 34, 40, 68
90, 93, 28, 90, 93, 28, 40, 68, 52
93, 28, 91, 93, 28, 91, 68, 52, 93
28, 91, 26, 28, 91, 26, 52, 93, 75
91, 26, 95, 91, 26, 95, 93, 75, 82
26, 95, 67, 26, 95, 67, 75, 82, 0
95, 67, 93, 95, 67, 93, 82, 0, 22
67, 93, 24, 67, 93, 24, 0, 22, 29
93, 24, 90, 93, 24, 90, 22, 29, 72
24, 90, 66, 24, 90, 66, 29, 72, 84
90, 66, 87, 90, 66, 87, 72, 84, 8
66, 87, 80, 66, 87, 80, 84, 8, 53
87, 80, 2, 87, 80, 2, 8, 53, 51
80, 2, 84, 80, 2, 84, 53, 51, 97
2, 84, 82, 2, 84, 82, 51, 97, 50
84, 82, 34, 84, 82, 34, 97, 50, 23
82, 34, 53, 82, 34, 53, 50, 23, 88
34, 53, 0, 34, 53, 0, 23, 88, 4
53, 0, 7, 53, 0, 7, 88, 4, 62
0, 7, 40, 0, 7, 40, 4, 62, 30
7, 40, 14, 7, 40, 14, 62, 30, 83
40, 14, 91, 40, 14, 91, 30, 83, 57
14, 91, 0, 14, 91, 0, 83, 57, 33
91, 0, 75, 91, 0, 75, 57, 33, 23
0, 75, 88, 0, 75, 88, 33, 23, 88
75, 88, 32, 75, 88, 32, 23, 88, 73
88, 32, 4, 88, 32, 4, 88, 73, 25
32, 4, 14, 32, 4, 14, 73, 25, 38
4, 14, 58, 4, 14, 58, 25, 38, 37
14, 58, 74, 14, 58, 74, 38, 37, 12
58, 74, 70, 58, 74, 70, 37, 12, 31
74, 70, 27, 74, 70, 27, 12, 31, 50
70, 27, 52, 70, 27, 52, 31, 50, 35
27, 52, 30, 27, 52, 30, 50, 35, 64
52, 30, 48, 52, 30, 48, 35, 64, 83
30, 48, 77, 30, 48, 77, 64, 83, 8
48, 77, 57, 48, 77, 57, 83, 8, 18
77, 57, 20, 77, 57, 20, 8, 18, 68
57, 20, 90, 57, 20, 90, 18, 68, 71
20, 90, 83, 20, 90, 83, 68, 71, 43
90, 83, 39, 90, 83, 39, 71, 43, 14
83, 39, 82, 83, 39, 82, 43, 14, 57
39, 82, 80, 39, 82, 80, 14, 57, 22
82, 80, 21, 82, 80, 21, 57, 22, 60
80, 21, 87, 80, 21, 87, 22, 60, 53
21, 87, 71, 21, 87, 71, 60, 53, 29
87, 71, 96, 87, 71, 96, 53, 29, 32
71, 96, 94, 71, 96, 94, 29, 32, 45
96, 94, 43, 96, 94, 43, 32, 45, 72
94, 43, 40, 94, 43, 40, 45, 72, 45
43, 40, 27, 43, 40, 27, 72, 45, 0
40, 27, 43, 40, 27, 43, 45, 0, 62
27, 43, 42, 27, 43, 42, 0, 62, 98
43, 42, 60, 43, 42, 60, 62, 98, 10
42, 60, 91, 42, 60, 91, 98, 10, 2
60, 91, 38, 60, 91, 38, 10, 2, 79
91, 38, 1, 91, 38, 1, 2, 79, 21
