5 1
1.133704 0.031553 0.017924 0.000000 0.004455 2.174169 
1.368514 -0.042267 0.065940 -0.010692 0.016195 2.170208 
1.151628 -0.017924 0.032051 0.000000 0.009068 2.173751 
1.772780 0.042207 -0.006939 -0.006939 0.020979 2.174330 
1.434454 -0.065940 0.075025 -0.022326 0.028404 2.167137 
2.106648 -0.120347 0.067138 0.016588 0.000000 2.168777 
1.765842 -0.087767 0.085085 0.000000 -0.034287 2.167542 
1.434454 -0.076632 0.092889 -0.038842 0.028404 2.163098 
1.451430 -0.082916 0.005703 -0.016976 0.000000 2.170803 
1.509479 -0.075025 -0.011793 -0.035102 0.029890 2.170642 
1.310735 -0.035492 0.010321 0.015511 -0.010240 2.173815 
1.406602 -0.038087 0.000000 0.005527 -0.010989 2.174227 
1.321056 0.026159 -0.020561 0.000000 -0.005171 2.174304 
1.765842 0.006939 0.000000 0.013904 0.000000 2.175189 
2.123236 -0.089643 0.050551 -0.016588 -0.024833 2.171660 
1.497687 0.011793 -0.023310 -0.034828 0.029656 2.173435 
2.190903 0.008609 -0.075977 -0.042540 0.008609 2.173216 
1.250482 -0.052796 0.139668 0.000000 -0.009769 2.155294 
1.285285 0.020320 -0.020004 0.010120 -0.024956 2.173897 
2.139954 0.042374 0.111924 0.000000 0.120773 2.169306 
1.836466 0.221192 -0.138533 -0.056720 0.043723 2.143984 
1.457133 -0.005703 0.000000 -0.022679 0.011473 2.174822 
1.183679 -0.032051 0.014008 0.000000 0.009320 2.173880 
1.406602 0.000000 -0.021892 0.011075 0.000000 2.174832 
1.865501 0.232902 -0.167567 0.000000 0.097570 2.139284 
1.147120 0.013575 -0.004490 0.000000 0.013575 2.174912 
1.850926 -0.085085 -0.021648 0.000000 -0.050119 2.172014 
1.255396 -0.004914 0.000000 0.000000 -0.004914 2.175244 
1.300495 0.020561 -0.010160 0.000000 -0.005090 2.174793 
1.390150 -0.139668 0.044304 0.000000 -0.042935 2.158307 
2.251878 -0.111924 0.080897 0.000000 0.090063 2.167486 
2.114926 0.033437 -0.016523 0.000000 -0.024736 2.174608 
1.197687 -0.014008 0.014174 0.000000 0.004706 2.174844 
1.829278 0.021648 -0.021395 0.000000 -0.042539 2.174139 
1.255396 0.000000 -0.029194 0.000000 -0.029194 2.174032 
1.290335 0.010160 0.015270 0.000000 -0.010081 2.174913 
2.173787 -0.050551 -0.156081 -0.016983 -0.050551 2.168398 
